City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
513,Moerai,-22.4333,-151.3333,broken clouds,76.82,67,61,15.93,PF,2021-04-20 13:16:49
514,Penzance,50.1186,-5.5371,few clouds,57.2,62,20,8.05,GB,2021-04-20 13:16:50
515,Inirida,3.8653,-67.9239,overcast clouds,80.91,73,100,1.77,CO,2021-04-20 13:16:50
516,Kenora,49.8167,-94.4337,overcast clouds,24.8,58,90,5.75,CA,2021-04-20 13:16:50
517,Nizwa,22.9333,57.5333,few clouds,96.21,9,21,7.83,OM,2021-04-20 13:16:51
518,Fuyu,45.1833,124.8167,few clouds,54.19,19,12,7.14,CN,2021-04-20 13:16:51
519,Bethel,41.3712,-73.414,clear sky,60.01,58,1,11.5,US,2021-04-20 13:16:51
520,Inuvik,68.3499,-133.7218,light snow,23.0,93,100,8.05,CA,2021-04-20 13:16:51
521,Male,4.1748,73.5089,few clouds,87.8,66,20,5.75,MV,2021-04-20 13:16:52
522,Tortoli,39.9256,9.6572,few clouds,68.0,45,20,4.61,IT,2021-04-20 13:16:52
523,Port Macquarie,-31.4333,152.9167,overcast clouds,55.0,98,100,5.28,AU,2021-04-20 13:12:11
524,Palia Kalan,28.45,80.5833,overcast clouds,93.34,11,100,6.11,IN,2021-04-20 13:16:52
525,Mubende,0.5606,31.39,overcast clouds,75.92,58,100,5.7,UG,2021-04-20 13:16:53
526,Vicuna,-30.0319,-70.7081,overcast clouds,57.2,94,90,3.56,CL,2021-04-20 13:16:53
527,Powell,40.1578,-83.0752,clear sky,46.0,61,1,4.61,US,2021-04-20 13:16:53
528,Lompoc,34.6391,-120.4579,broken clouds,50.0,87,53,9.22,US,2021-04-20 13:12:44
529,Jiayuguan,39.8167,98.3,overcast clouds,59.88,20,100,5.1,CN,2021-04-20 13:16:54
530,Alice Springs,-23.7,133.8833,clear sky,53.6,43,0,4.61,AU,2021-04-20 13:12:10
531,Belica,41.9569,23.5725,broken clouds,55.0,44,65,4.0,BG,2021-04-20 13:16:54
532,Esmeraldas,-19.7625,-44.3139,clear sky,77.0,44,0,6.91,BR,2021-04-20 13:16:54
533,Cayenne,4.9333,-52.3333,overcast clouds,78.8,89,90,5.12,GF,2021-04-20 13:16:54
534,Pontivy,48.0,-3.0,clear sky,64.99,42,0,5.75,FR,2021-04-20 13:16:55
535,Yaan,7.3833,8.5667,overcast clouds,95.11,37,100,6.58,NG,2021-04-20 13:16:55
536,Viedma,-40.8135,-62.9967,overcast clouds,69.31,65,100,17.9,AR,2021-04-20 13:16:55
537,Cabuyaro,4.2817,-72.794,overcast clouds,79.32,68,100,4.27,CO,2021-04-20 13:16:56
538,Qasigiannguit,68.8193,-51.1922,broken clouds,15.8,62,75,4.61,GL,2021-04-20 13:16:56
539,Zalantun,48.0,122.7167,few clouds,50.68,30,11,12.46,CN,2021-04-20 13:16:56
540,Esperance,-33.8667,121.9,overcast clouds,57.2,94,90,3.44,AU,2021-04-20 13:16:56
541,Zhuhai,22.2769,113.5678,light rain,75.2,83,20,12.66,CN,2021-04-20 13:16:57
542,Campbell River,50.0163,-125.2446,clear sky,46.99,81,1,8.05,CA,2021-04-20 13:16:57
543,Lyubim,58.3625,40.6843,overcast clouds,50.25,40,100,10.96,RU,2021-04-20 13:16:57
544,Yumen,40.2833,97.2,overcast clouds,60.96,19,100,3.33,CN,2021-04-20 13:16:58
545,Mandalgovi,45.7625,106.2708,overcast clouds,57.58,13,100,9.4,MN,2021-04-20 13:16:58
546,Onojo,33.5357,130.4786,clear sky,57.2,72,0,3.44,JP,2021-04-20 13:16:58
547,Matay,28.419,30.7792,clear sky,98.08,14,1,19.19,EG,2021-04-20 13:16:59
548,Porto Walter,-8.2686,-72.7439,scattered clouds,75.51,93,45,2.64,BR,2021-04-20 13:16:59
549,Mount Isa,-20.7333,139.5,few clouds,77.0,31,17,5.75,AU,2021-04-20 13:16:59
550,Santander,43.4647,-3.8044,scattered clouds,64.4,68,40,4.61,ES,2021-04-20 13:16:59
551,Mount Gambier,-37.8333,140.7667,scattered clouds,41.0,93,40,6.91,AU,2021-04-20 13:17:00
552,Bud,39.447,-86.1758,broken clouds,44.01,81,83,5.97,US,2021-04-20 13:17:00
553,Akyab,20.15,92.9,clear sky,82.06,78,0,13.09,MM,2021-04-20 13:17:00
554,Sadri,25.1833,73.4333,few clouds,91.99,16,20,11.16,IN,2021-04-20 13:17:00
555,San Martin,-33.081,-68.4681,few clouds,68.0,77,20,9.22,AR,2021-04-20 13:17:01
556,Krasnoye,49.9145,24.6134,broken clouds,57.99,50,75,6.71,UA,2021-04-20 13:17:01
557,Chanute,37.6792,-95.4572,snow,33.8,86,90,12.66,US,2021-04-20 13:13:33
558,Samdari,25.8167,72.5833,broken clouds,86.76,24,84,20.09,IN,2021-04-20 13:17:02
559,Emba,48.8264,58.1442,clear sky,44.74,27,0,19.46,KZ,2021-04-20 13:17:02
560,Egvekinot,66.3167,-179.1667,broken clouds,9.34,79,58,3.13,RU,2021-04-20 13:17:02
561,Solnechnyy,50.7214,136.6319,broken clouds,32.0,68,81,9.69,RU,2021-04-20 13:17:02
562,Aklavik,68.2191,-135.0107,snow,24.8,86,90,11.5,CA,2021-04-20 13:16:13
563,Ayr,55.4627,-4.6339,scattered clouds,51.8,71,40,6.91,GB,2021-04-20 13:17:03
564,San Luis,-33.295,-66.3356,few clouds,72.86,55,13,18.54,AR,2021-04-20 13:17:03
565,Beloha,-25.1667,45.05,scattered clouds,77.31,57,25,17.74,MG,2021-04-20 13:17:03
566,Qaqortoq,60.7167,-46.0333,broken clouds,39.2,45,75,3.44,GL,2021-04-20 13:17:04
567,Wamba,8.9333,8.6,overcast clouds,99.05,31,96,8.7,NG,2021-04-20 13:17:04
568,Atikokan,48.7555,-91.6216,scattered clouds,25.9,54,29,5.77,CA,2021-04-20 13:17:04
569,Gengenbach,48.4,8.0167,clear sky,64.0,55,0,4.61,DE,2021-04-20 13:17:05
570,Salalah,17.0151,54.0924,clear sky,86.0,74,0,10.36,OM,2021-04-20 13:17:05
571,Moba,33.2288,105.0179,overcast clouds,52.77,74,100,4.03,CN,2021-04-20 13:17:05
572,Am Timan,11.0297,20.2827,clear sky,106.54,12,6,2.71,TD,2021-04-20 13:17:06
573,Osorno,-40.5667,-73.15,overcast clouds,50.0,97,90,2.3,CL,2021-04-20 13:13:40
574,Rzhaksa,52.1338,42.0264,light rain,40.57,92,100,18.3,RU,2021-04-20 13:17:06
575,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,broken clouds,78.8,94,75,3.44,BR,2021-04-20 13:17:06
576,Aljezur,37.3191,-8.8033,overcast clouds,65.59,65,100,11.43,PT,2021-04-20 13:14:14
577,Russell,32.3502,-85.1999,broken clouds,57.99,77,75,4.29,US,2021-04-20 13:17:07
578,Ketchikan,55.3422,-131.6461,clear sky,44.6,76,1,9.22,US,2021-04-20 13:15:38
579,Tomatlan,19.9333,-105.25,clear sky,63.3,74,5,3.06,MX,2021-04-20 13:17:07
580,Dzerzhinsk,56.2389,43.4631,clear sky,53.6,26,0,15.66,RU,2021-04-20 13:17:07
581,Yenagoa,4.9247,6.2642,overcast clouds,96.75,39,100,8.46,NG,2021-04-20 13:17:08
582,Zaplavnoye,48.7048,45.0229,light rain,59.0,94,75,22.37,RU,2021-04-20 13:17:08
583,Sioux City,42.5,-96.4003,clear sky,28.99,59,1,6.91,US,2021-04-20 13:16:45
584,Luba,3.4568,8.5547,few clouds,87.8,70,20,6.91,GQ,2021-04-20 13:17:09
585,San Carlos De Bariloche,-41.1456,-71.3082,scattered clouds,44.6,93,40,2.3,AR,2021-04-20 13:13:22
